You are (a):,What is the name of the company you work in?,What is your position at the university you are working in?,What are you studying?,Which academical institution are you affiliated with?,Academia/Industry/Other?,Are you a member of the Norwegian Chemical Society?,Can you briefly explain why you are a member in the Norwegian Chemical Society?,"When was the last time you read the publication ""Kjemi""?","On a scale from 1-5, how interesting do you find the publication ""Kjemi"" is for you?
",Are you familiar with the Norwegian Chemical Society?,"On a scale from 1 -5, how interested would you be in joining the Norwegian Chemical Society?","If you answered 3 or lower in the last question, could you give a brief description to why? 
","Are you familiar with any of the offers of events, courses, etc. in your local area/for your area of interest which the Norwegian Chemical Society offers? If yes, which are you familiar with?",When did you last attend an event hosted by the Norwegian Chemical Society?,What do you believe to be the reason you have not gone to a Norwegian Chemical Society-event?,"On a scale from 1-5, how interested are you in: scientific talks about chemistry or chemistry-related topics","If you answered 4 or higher on the last question, are there any particular topics you would like to hear more about?","On a scale from 1-5, how interested are you in: visits to chemistry-related businesses?","If you answered 4 or higher on the last question, are there any particular businesses you would like to visit?","On a scale from 1-5, how interested are you in: crash-courses for specific courses?","On a scale from 1-5, how interested are you in courses/workshop in how to present, write a job application, etc.?","On a scale from 1-5, how interested are you in introduction/mid-level courses in software relevant to chemistry/research-related topics?","On a scale from 1-5, how interested are you in non-chemistry related social events","If you answered 4 or higher on the last question, what kind of events would you be interested in?",Any other events you would suggest that the Norwegian Chemical Society could host?,Any other events you would suggest that the Norwegian Chemical Society could host?,Which format do you prefer to attend events in? (You can choose multiple options),Which of the following formats do you think would be interesting to see from the Norwegian Chemical Society? (You can select multiple answers),How would you like to be informed about future events from the Norwegian Chemical Society?,Which day of the week would be the best option for you to attend an event hosted by the Norwegian Chemical Society? (You can select multiple options),When do you think is the best time for an event from the Norwegian Chemical Society to start?,"On a scale from 1 to 5, how strongly do you identify yourself as a chemist?","On a scale from 1 to 5, how relevant do you feel the Norwegian Chemical Society is for you?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with Norwegian Chemical Society logo?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with a design that shows your interest in chemistry?","If you answered 3 or higher on the previous question(s), what do you think would be a fair price (in NOK) for a t-shirt with such a design on it?",Is there something you like about the Norwegian Chemical Society?,Is there something you do not like about the Norwegian Chemical Society?,Is there anything you would like to add? 
Employed in industry,Yara Norge,,,,Industry,Member,I am a chemist,1-3 years ago,3,,,,,More than 3 years ago,"I have felt that I have not been in the target audience for the events, Did not have time",4,,3,,3,2,3,1,,,,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry",E-mail,Ingen preferanse / No preferance for day,,5,3,4,3,125,,,
Health sector,,,,,Other,Member,Became a member when I was a student,1-3 years ago,3,,,,Lectures,More than 3 years ago,"I have felt that I have not been in the target audience for the events, Did not have time",3,,3,,3,3,3,2,,,,Ingen preferanse / No preference,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",7:00:00 PM,5,3,2,2,,,,
Teacher,,,,,Other,Member,Subject interest,This year,3,,,,,More than 3 years ago,"I have felt that I have not been in the target audience for the events, Did not have time, Too far away",4,,4,,2,1,3,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,7:00:00 PM,3,4,2,2,,,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,No,5,,,Never,The time of the event did not suit me well,2,,5,,5,5,3,3,,,,Digitalt / Digitally,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Facebook, Discord, Posters at my faculty","Lørdag / Saturday, Søndag / Sunday",2:30:00 PM,4,5,2,5,125,,,
Employed in industry,Borregaard,,,,Industry,Member,"Became a member when I was a student, Duty",This year,4,,,,Conferences/Meetings,More than 3 years ago,Local branch inactive,5,,5,,2,1,4,3,,,,Ingen preferanse / No preference,"Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,5,4,2,4,200,,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,Yes,3,,Conferences/Meetings,Never,The time of the event did not suit me well,3,,3,,2,1,1,1,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Facebook","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",12:00:00 PM,4,4,4,1,500,,,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,2,,Nobel dinner,Never,The time of the event did not suit me well,3,,5,,2,3,4,2,,,,Fysisk / In-person,,"Facebook, Posters at my faculty",Ingen preferanse / No preferance for day,6:00:00 PM,3,3,1,1,,,,
A student at master's level,,,Chemistry,NTNU,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,The time of the event did not suit me well,3,,4,,,,,,,,,,,,,,3,,,,,,,
Employed in industry,Cerpotech,,,,Industry,Member,"Subject interest, The publication ""Kjemi""",1-3 years ago,4,,,,,More than 3 years ago,The time of the event did not suit me well,4,,4,,4,1,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events, Twitter/X, Instagram (chemistry content)","E-mail, Website, Discord, Other","Mandag / Monday, Onsdag / Wednesday, Lørdag / Saturday",9:00:00 PM,5,4,2,4,250,,,
Employed in industry,IFE,,,,Industry,Member,,This year,3,,,,,More than 3 years ago,The time of the event did not suit me well,3,,4,,3,3,4,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,Fredag / Friday,3:00:00 PM,5,4,4,4,200,,,
Employed in industry,,,,,Industry,Member,,This year,5,,,,Conferences/Meetings,More than 3 years ago,The time of the event did not suit me well,4,Lipids,3,,3,3,4,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events",E-mail,Tirsdag / Tuesday,6:00:00 PM,5,4,2,2,,,,
Ph.D. student,,Ph.D. student,Biokjemi ,UiB,Academia,Member,Recommended membership,This year,3,,,,,Never,The time of the event did not suit me well,4,,3,,3,4,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram",Onsdag / Wednesday,,3,3,3,4,299,,,
University employee,,(Assoc.) Professor,,NTNU,Academia,Member,I am a chemist,This year,3,,,,,More than 3 years ago,The time of the event did not suit me well,4,biokjemi,3,,3,1,3,2,,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,,3,4,2,1,,,,
University employee,,Postdoc / Researcher,,UiT,Academia,Member,Subject interest,This year,4,,,,,Never,The time of the event did not suit me well,5,"Catalysis, Relevance of chemistry in Norwegian industry",5,"Green Innovation, Pharmaceutical",5,5,5,4,"Entreprenørskap, Nettverking/Sosialt","An event bringing together chemistry researchers, students and norwegian chemical industry",,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,Ingen preferanse / No preferance for day,8:00:00 AM,5,4,5,5,150,,,
A student at master's level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,4,,Nobel dinner,Never,"The time of the event did not suit me well, Did not have time",4,,4,,2,5,4,5,,,,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content","E-mail, Instagram, Posters at my faculty","Mandag / Monday, Torsdag / Thursday",5:00:00 PM,4,4,2,4,,,,
Employed in industry,IFE,,,,Industry,Member,"Community, Informed about recent development",This year,4,,,,,Never,"The time of the event did not suit me well, Did not have time",5,Catalysi; industry talks,4,"Equinor, Yara etc",5,3,5,4,"Vitenskapelig, Spesifikke forslag",,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website, Facebook","Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",12:00:00 PM,5,4,3,4,200,,,
Employed in industry,,,,,Industry,Member,"Became a member when I was a student, Community",This year,3,,,,,More than 3 years ago,"The time of the event did not suit me well, Did not have time",3,,4,,3,3,1,2,,,,"Fysisk / In-person, Digitalt / Digitally","Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Mandag / Monday, Onsdag / Wednesday",7:00:00 PM,4,3,3,3,200,,,
Pensioner,,,,,Other,Member,Became a member when I was a student,This year,2,,,,,More than 3 years ago,"The time of the event did not suit me well, Did not have time",3,,2,,1,1,3,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry",E-mail,Ingen preferanse / No preferance for day,7:00:00 PM,5,3,1,2,,,,
Ph.D. student,,Ph.D. student,Chemistry,UiB,Academia,Member,,This year,3,,,,,Never,"The time of the event did not suit me well, Did not have time",3,,5,,1,3,1,1,,,,Ingen preferanse / No preference,Newsletter with short form content,E-mail,Ingen preferanse / No preferance for day,,3,3,1,1,,,,
University employee,,Engineer,,UiO,Academia,Non-member,,,,Yes,3,Not relevant for me,"Lectures, kurs",More than 3 years ago,"The time of the event did not suit me well, I have felt that I have not been in the target audience for the events",4,Analytisk / biojemi,3,,3,2,3,3,,,,Ingen preferanse / No preference,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,9:00:00 AM,4,5,4,5,100,,,
University employee,,Postdoc / Researcher,,UiO,Academia,Member,,This year,3,,,,Conferences/Meetings,More than 3 years ago,"The time of the event did not suit me well, I have felt that I have not been in the target audience for the events, Did not have time",3,,3,,1,1,1,1,,,,Fysisk / In-person,Livestream/VODs from NKS events,"E-mail, Facebook, Posters at my faculty","Mandag / Monday, Onsdag / Wednesday",6:00:00 PM,4,3,2,2,,,,
University employee,,(Assoc.) Professor,,UiO,Academia,Member,,This year,2,,,,,More than 3 years ago,"The time of the event did not suit me well, Cost",3,,2,,1,1,2,2,,,,Fysisk / In-person,,E-mail,Ingen preferanse / No preferance for day,,5,3,1,1,,,,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,4,,,1-3 years ago,,5,,5,,3,3,5,4,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Website, Facebook, Instagram, Discord, Posters at my faculty",Ingen preferanse / No preferance for day,,4,5,5,5,,,,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,3,,,1-3 years ago,,4,,5,,1,3,3,1,,,,Fysisk / In-person,Podcast about chemistry,Posters at my faculty,Ingen preferanse / No preferance for day,5:30:00 PM,3,3,1,1,,,,
A student at master's level,,,Chemistry,NTNU,Academia,Member,"Subject interest, Conferences",This year,4,,,,,1-3 years ago,,4,,4,,3,5,3,5,,,,Fysisk / In-person,Podcast about chemistry,"E-mail, Posters at my faculty","Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",5:00:00 PM,4,5,5,5,300,,,
A student at master's level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,,1-3 years ago,,2,,4,,2,3,3,1,,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)","Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,4:00:00 PM,4,4,1,1,,,,
A student at master's level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,4,,,1-3 years ago,,4,MRS,4,"HI, Eurofins",4,4,5,3,,,,"Fysisk / In-person, Digitalt / Digitally",Newsletter with short form content,"E-mail, Facebook","Lørdag / Saturday, Søndag / Sunday",9:00:00 AM,4,4,3,3,200,,,
A student at master's level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,1,Not relevant for me,,1-3 years ago,,3,,5,Generelt bli mer kjent med jobbmarkedet for kjemikere,1,3,3,5,Quiz,Ski/slalåmtur,,Fysisk / In-person,Instagram (chemistry content),"Facebook, Instagram, Posters at my faculty","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday",4:30:00 PM,5,2,3,4,,,,"Increase visibility, Increase activity, Increase visibility"
A student at master's level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,3,Not relevant for me,"Nobel dinner, Company visits",1-3 years ago,,3,,4,,4,4,4,4,Quiz,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)","E-mail, Posters at my faculty",Fredag / Friday,6:00:00 PM,4,3,3,3,300,,,
A student at master's level,,,Chemistry,UiO,Academia,Member,,This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Organic chemistry/ mass spectrometry ,3,,4,4,4,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Posters at my faculty","Lørdag / Saturday, Søndag / Sunday",8:30:00 AM,4,4,3,5,300,,,
Employed in industry,Borregaard,,,,Industry,Member,"Community, Informed about recent development",This year,4,,,,,1-3 years ago,,5,"Temaer som er dagsaktuelle i samfunnet, f- eks Industri, kraft, mat og drikke, miljø, materialer etc. ",2,,3,1,1,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,"Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,4,3,2,3,250,,,"Increase visibility, Increase activity, Increase visibility"
Employed in industry,ChampionX,,,,Industry,Member,Became a member when I was a student,This year,4,,,,"Juleavslutning, Lectures",1-3 years ago,,4,Helse relatert kjemi ,4,,5,1,1,1,,,,Ingen preferanse / No preference,,E-mail,Ingen preferanse / No preferance for day,,5,3,1,5,250,,,
Employed in industry,Elkem,,,,Industry,Member,"Informed about recent development, Community",This year,5,,,,Conferences/Meetings,1-3 years ago,,4,,3,,3,3,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,,5,4,1,2,,,,
Employed in industry,Eurofins,,,,Industry,Member,"Community, Networking",This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Environmental monitoring,3,,4,1,5,4,,,,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content",E-mail,Torsdag / Thursday,3:00:00 PM,5,5,5,5,450,,,
Employed in industry,GE HealthCare,,,,Industry,Member,Subject interest,This year,4,,,,,1-3 years ago,,4,Industriell kjemi - kontinuerlig prosess,3,,3,2,2,4,Nettverking/Sosialt,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","Facebook, Instagram, LinkedIn","Mandag / Monday, Torsdag / Thursday",7:00:00 PM,4,4,4,5,200,,,
Employed in industry,GE HealthCare,,,,Industry,Member,I am a chemist,This year,3,,,,Lectures,1-3 years ago,,4,"Analytisk kjemi og ""populærvitenskap""",2,,4,3,3,1,,,,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website",Ingen preferanse / No preferance for day,,4,3,1,1,,,,
Employed in industry,GE HealthCare,,,,Industry,Member,Subject interest,1-3 years ago,3,,,,Conferences/Meetings,1-3 years ago,,4,"Oppskalering av kjemiske prosesser, industri prosjekter",4,,1,2,3,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",8:00:00 AM,4,3,1,2,,,,
Employed in industry,Jotun A/S,,,,Industry,Member,Informed about recent development,This year,3,,,,,1-3 years ago,,3,,2,,2,1,1,3,,Mer om bærekraft,,Ingen preferanse / No preference,"Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday",6:00:00 PM,4,3,1,2,,,,
Employed in industry,Jotun A/S,,,,Industry,Member,"Community, Networking",This year,1,,,,Conferences/Meetings,1-3 years ago,,3,,2,,1,1,3,2,,,,"Fysisk / In-person, Ingen preferanse / No preference",,E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,5,2,1,1,,,,
Employed in industry,LAB Norway,,,,Industry,Non-member,,,,Yes,4,,,1-3 years ago,,4,"Vannkjemi og bioteknologi, chemputers",3,,4,3,5,4,Vitenskapelig,"Litt vitenskapsfilosofi, samfunnsansvar",,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Twitter/X, Instagram (chemistry content)","E-mail, Instagram, Discord",Ingen preferanse / No preferance for day,,3,5,4,5,500,,,Other
Employed in industry,Lerøy Seafood Group ASA,,,,Industry,Member,Subject interest,This year,5,,,,,1-3 years ago,,5,Relatert til helse og bærekraft,5,,5,5,5,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Facebook, Instagram, Posters at my faculty","Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",6:00:00 PM,5,5,3,5,150,,,
Employed in industry,Nerliens Meszansky AS ,,,,Industry,Member,"I am a chemist, Community",This year,5,,,,,1-3 years ago,,3,,3,,3,3,3,3,,Nei,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website, Instagram",Ingen preferanse / No preferance for day,,5,5,5,5,250,,,
Employed in industry,Nmas,,,,Industry,Non-member,,,,Yes,5,,,1-3 years ago,,3,,5,,4,1,1,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website",Ingen preferanse / No preferance for day,,4,4,1,1,,,,
Employed in industry,SLB,,,,Industry,Non-member,,,,Yes,4,,Company visits,1-3 years ago,,5,Kjemisk industri og forskning i Bergen. Kjemi og bærekraft. ,4,Noe som ikke er olje/gass. ,1,1,4,3,,Felles streaming av nobelforelesing i kjemi. ,,Fysisk / In-person,"Newsletter with short form content, Instagram (chemistry content)",E-mail,Onsdag / Wednesday,6:00:00 PM,4,4,1,2,,,,
Employed in industry,SLB,,,,Industry,Member,,1-3 years ago,3,,,,,1-3 years ago,,4,Sustainability aspects from different industries,4,,3,3,2,2,,Være et bildeledd for å vise nyutdannede (og ferske i industrien) jobbmuligheter,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,5,4,1,4,,,,
Employed in industry,TioTech AS,,,,Industry,Member,"Informed about recent development, Community",This year,3,,,,Nobel dinner,1-3 years ago,,4,Battery electrochemistry,3,,1,1,4,4,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website, Facebook",Ingen preferanse / No preferance for day,8:00:00 PM,3,4,1,5,261,,,
Employed in industry,TioTech AS,,,,Industry,Non-member,,,,Yes,4,,Conferences/Meetings,1-3 years ago,,4,,5,,4,2,3,2,,,,"Fysisk / In-person, Digitalt / Digitally",Newsletter with short form content,"E-mail, Website",Ingen preferanse / No preferance for day,9:00:00 AM,5,3,1,2,,,,
Employed in industry,Yara Norge,,,,Industry,Member,"Community, Informed about recent development",This year,4,,,,,1-3 years ago,,4,,4,,3,3,4,4,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,,4,4,2,2,,,,
Employed in industry,,,,,Industry,Member,Community,This year,3,,,,,1-3 years ago,,4,,2,,1,1,2,1,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website",Ingen preferanse / No preferance for day,6:30:00 PM,5,4,3,2,,,,Politics
Forskningsinstitutt,,,,,Other,Member,"Duty, Events",This year,4,,,,Conferences/Meetings,1-3 years ago,,3,,3,,3,1,2,1,,,,Fysisk / In-person,Newsletter with short form content,E-mail,"Tirsdag / Tuesday, Torsdag / Thursday",5:00:00 PM,5,4,5,3,300,,,
Forskningsinstitutt,,,,,Other,Member,"Became a member when I was a student, Conferences",This year,3,,,,Conferences/Meetings,1-3 years ago,,3,,4,Arcus eller matkjemi-relaterte bedrifter,4,3,4,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram",Ingen preferanse / No preferance for day,6:00:00 PM,4,4,1,5,400,,,
Health sector,,,,,Other,Member,"Subject interest, Informed about recent development, Conferences",This year,5,,,,"Conferences/Meetings, Lectures",1-3 years ago,,5,"analytical solutions, methods, findings",4,,3,1,3,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, Newsletter with short form content","E-mail, Website","Tirsdag / Tuesday, Torsdag / Thursday, Fredag / Friday",2:00:00 PM,5,5,3,3,400,,,
Other,,,,,Other,Member,,This year,3,,,,,1-3 years ago,,4,,4,,2,2,2,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,,3,3,2,3,,,,
Other,,,,,Other,Member,Events,This year,3,,,,,1-3 years ago,,4,Radiokjemi,5,,,5,4,5,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Facebook, Instagram, Posters at my faculty","Mandag / Monday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",6:00:00 PM,5,4,5,5,200,,,
Pensioner,,,,,Other,Member,,This year,4,,,,,1-3 years ago,,5,,5,,5,5,5,4,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Facebook","Mandag / Monday, Torsdag / Thursday",6:00:00 PM,4,5,3,3,,,,
Pensioner,,,,,Other,Member,Became a member when I was a student,This year,5,,,,Conferences/Meetings,1-3 years ago,,5,"Tema relatert til fakta om utfordringer i det ""grønne skiftet"". ",4,Nei,3,1,2,4,,,,Ingen preferanse / No preference,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,5,4,3,3,300,,,Politics
Pensioner,,,,,Other,Member,Community,This year,3,,,,Conferences/Meetings,1-3 years ago,,5,Solvent selection,5,Bio-raffineri,3,1,5,2,,Multivariate data analysis in R&D,,Ingen preferanse / No preference,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website",Ingen preferanse / No preferance for day,9:30:00 AM,4,4,5,5,250,,,Other
Pensioner,,,,,Other,Member,I am a chemist,This year,4,,,,Conferences/Meetings,1-3 years ago,,5,nanoteknolig,5,,5,4,5,4,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Facebook","Mandag / Monday, Torsdag / Thursday",6:00:00 PM,4,5,4,4,,,,
Pensioner,,,,,Other,Member,Subject interest,This year,5,,,,Conferences/Meetings,1-3 years ago,,3,,3,,1,1,1,1,,,,Ingen preferanse / No preference,YouTube videos about chemistry,E-mail,Mandag / Monday,4:00:00 PM,5,3,1,1,,,,
Pensioner,,,,,Other,Member,I am a chemist,This year,4,,,,,1-3 years ago,,5,Temaer knyttet til det grønne skifte,4,,2,1,1,3,,,,"Fysisk / In-person, Digitalt / Digitally","Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Facebook","Mandag / Monday, Torsdag / Thursday",6:00:00 PM,5,4,1,1,,,,
Pensioner,,,,,Other,Member,,This year,4,,,,,1-3 years ago,,5,Medisinalkjemi,3,,1,1,1,3,,,,Fysisk / In-person,YouTube videos about chemistry,E-mail,"Onsdag / Wednesday, Torsdag / Thursday",,5,5,5,5,,,,
Ph.D. student,,,Materialvitenskap ,Norwegian University of Life Sciences,Academia,Member,,This year,3,,,,,1-3 years ago,,4,,4,,3,4,3,2,,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,,3,3,1,1,,,,
Ph.D. student,,,Chemistry,Norwegian University of Life Sciences,Academia,Member,"Recommended membership, Became a member when I was a student",This year,4,,,,,1-3 years ago,,4,,3,,4,5,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",,5,3,3,3,,,,
Ph.D. student,,,Matvitenskap,Norwegian University of Life Sciences,Academia,Member,"Community, Informed about recent development",Never,3,,,,,1-3 years ago,,4,Matkjemi,3,,2,3,2,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Newsletter with short form content","E-mail, Facebook, Posters at my faculty","Mandag / Monday, Onsdag / Wednesday, Torsdag / Thursday",5:00:00 PM,3,3,3,3,200,,,
Ph.D. student,,,Chemistry,NTNU,Academia,Non-member,,,,Yes,3,,Conferences/Meetings,1-3 years ago,,4,Transition to green chemistry,4,,1,3,4,2,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram",Ingen preferanse / No preferance for day,7:00:00 PM,5,3,1,2,,,,
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,,This year,3,,,,,1-3 years ago,,4,"massespektrometri, proteomikk, nye teknologier",2,,5,4,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Website, Facebook, Posters at my faculty","Tirsdag / Tuesday, Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",6:00:00 PM,5,5,2,5,300,,,
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Non-member,,,,Yes,3,,,1-3 years ago,,4,,5,,1,1,1,2,,,,Ingen preferanse / No preference,Livestream/VODs from NKS events,"E-mail, Website, Facebook","Tirsdag / Tuesday, Torsdag / Thursday",5:00:00 PM,5,2,2,2,,,,
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,"Conferences, Networking",This year,4,,,,Conferences/Meetings,1-3 years ago,,5,"LC, MS, proteomikk, bioanalyse",3,,5,5,5,1,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Twitter/X, Instagram (chemistry content)","E-mail, Website, Facebook, Posters at my faculty","Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",,5,5,2,4,250,,,
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,"Events, Conferences",This year,4,,,,Company visits,1-3 years ago,,5,,5,,2,3,5,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,,4,3,2,3,400,,,
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,,This year,3,,,,,1-3 years ago,,4,,4,,5,5,3,3,,,,Digitalt / Digitally,"YouTube videos about chemistry, Newsletter with short form content, Twitter/X","E-mail, Website","Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",,4,3,1,1,,,,
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,Recommended membership,This year,4,,,,,1-3 years ago,,4,,5,,5,5,5,5,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Livestream/VODs from NKS events","Website, Facebook","Torsdag / Thursday, Fredag / Friday",10:00:00 AM,5,4,4,4,,,,
